,Subject,perception_scores,perception_rates,perception_dprime,perception_metad,perception_criterion,perception_mratio,perception_mdiff,memory_scores,memory_rates,memory_dprime,memory_metad,memory_criterion,memory_mratio,memory_mdiff,perception_mratio_log,memory_mratio_log,DGI_perception_memory
0,1,"(178, 31, 59, 187)","(0.8516746411483254, 0.23983739837398374)",1.7398737259012442,2.4722826913072518,-0.1684085089085951,1.420955242040122,0.7324089654060071,"(146, 84, 40, 186)","(0.6347826086956522, 0.17699115044247787)",1.2904568153672542,1.806628230181807,0.2911726833715142,1.399991234629308,0.5161714148145529,0.3513293511101958,0.33646597562254715,0.014863375487648656
1,2,"(183, 57, 66, 174)","(0.7625, 0.275)",1.305812486235943,1.8467648684936704,-0.0583036571188544,1.4142649790530373,0.5409523822577276,"(149, 84, 93, 141)","(0.6394849785407726, 0.3974358974358974)",0.6013806706128083,0.9750154772342216,-0.0485464507785589,1.6212950047773875,0.3736348066214132,0.34660994670212314,0.4832252155707978,0.13661526886867464
2,3,"(179, 46, 56, 193)","(0.7955555555555556, 0.2248995983935743)",1.5733339527870815,2.1538110231090344,-0.0350503433555531,1.368947145196776,0.5804770703219528,"(157, 75, 82, 155)","(0.6767241379310345, 0.3459915611814346)",0.8508582920237305,1.8454299174817512,-0.0311962889474867,2.1689039582519363,0.9945716254580208,0.31404193723139,0.7742219515891098,0.46018001435771977
3,4,"(179, 63, 48, 188)","(0.7396694214876033, 0.2033898305084746)",1.4644474228594315,2.0679440514796856,0.0936237265230387,1.4120985289057946,0.6034966286202539,"(155, 81, 60, 178)","(0.6567796610169492, 0.25210084033613445)",1.0872995338914562,1.8813779175296648,0.1321016577026411,1.730321644483921,0.7940783836382086,0.3450769163148866,0.5483073128954027,0.20323039658051612
4,5,"(181, 59, 50, 184)","(0.7541666666666667, 0.21367521367521367)",1.4738713370959051,2.0551560663019885,0.0530366957192954,1.3943931295600325,0.5812847292060834,"(161, 78, 75, 163)","(0.6736401673640168, 0.31512605042016806)",0.9240112517360496,1.9184974643556916,0.0156924194610841,2.0762706739243515,0.9944862126196417,0.3324592880457528,0.7305733392344337,0.3981140511886809
5,6,"(178, 64, 59, 179)","(0.7355371900826446, 0.24789915966386555)",1.3044724656293178,1.9490498782075525,0.0257343630204589,1.4941287988530063,0.6445774125782346,"(180, 58, 102, 138)","(0.7563025210084033, 0.425)",0.8854785377428589,1.530140836890538,-0.2526698453451925,1.7280383111158903,0.6446622991476791,0.401543293739677,0.5469868409207544,0.14544354718107744
6,7,"(187, 50, 48, 194)","(0.7890295358649789, 0.19834710743801653)",1.6419552529084194,2.643567258755298,0.0222407426119291,1.6100117552367574,1.0016120058468787,"(149, 88, 39, 197)","(0.6286919831223629, 0.1652542372881356)",1.3156296557841212,1.8033743657896115,0.3223495909099929,1.370731009187226,0.4877447100054901,0.47624148035900693,0.3153441808833977,0.1608972994756092
7,8,"(193, 42, 54, 191)","(0.8212765957446808, 0.22040816326530613)",1.6820288586080268,2.0721938512198035,-0.0747127972281029,1.2319609384910672,0.3901649926117767,"(174, 61, 65, 169)","(0.7404255319148936, 0.2777777777777778)",1.2281556843190322,1.853939237477018,-0.0276010265903489,1.5095311296018308,0.6257835531579858,0.20860715883845185,0.41179909241109675,0.2031919335726449
8,9,"(182, 47, 60, 190)","(0.7947598253275109, 0.24)",1.5215239037314614,1.8383584921682323,-0.0583730249948907,1.2082350383452736,0.3168345884367711,"(182, 51, 56, 175)","(0.7811158798283262, 0.24242424242424243)",1.4668827841020249,1.7684519548720068,-0.0387208399689169,1.2055850501746752,0.3015691707699821,0.18916064875330954,0.18696496793365158,0.002195680819657958
9,10,"(152, 66, 90, 171)","(0.6972477064220184, 0.3448275862068966)",0.911638635954254,1.1987307974197954,-0.0585889330523094,1.3149188177671174,0.2870921614655413,"(103, 112, 76, 128)","(0.4790697674418605, 0.37254901960784315)",0.2917025939777599,1.1819155298103698,0.1887990577018511,4.051782720521443,0.89021293583261,0.2737749281856973,1.3991569621751019,1.1253820339894045
