,Subject,memory_scores,memory_rates,memory_dprime,memory_metad,memory_criterion,memory_mratio,memory_mdiff,perception_scores,perception_rates,perception_dprime,perception_metad,perception_criterion,perception_mratio,perception_mdiff,memory_mratio_log,perception_mratio_log,DGI_memory_perception
0,1,"(74, 20, 19, 87)","(0.7872340425531915, 0.1792452830188679)",-0.8905068695086102,-0.0985228966239095,0.0606921768428953,0.1106368743435694,0.7919839728847007,,,,,,,,-2.2015018427154973,,
1,15,"(85, 18, 11, 86)","(0.8252427184466019, 0.1134020618556701)",1.09883622950296,1.3628859908872972,0.136550525591083,1.2402994680142423,0.2640497613843373,"(135, 15, 63, 87)","(0.9, 0.42)",0.6927082484172554,1.8077474240774465,-0.5398290432013747,2.6096808118106063,1.1150391756601907,0.21535285692205272,0.9592279195306032,0.7438750626085504
2,22,"(71, 40, 25, 64)","(0.6396396396396397, 0.2808988764044944)",1.8248391305720892,-0.0161426381306169,0.1113387871569454,-0.0088460609267821,-1.8409817687027064,"(144, 9, 73, 74)","(0.9411764705882353, 0.4965986394557823)",-0.967421566101701,-0.4792733909126588,-0.7781002107762358,0.4954131763300745,0.4881481751890422,,-0.7023631649247587,
3,29,"(58, 42, 10, 90)","(0.58, 0.1)",1.3489795003921634,1.004836759450097,0.5398290432013748,0.7448866043983471,-0.3441427409420661,"(127, 14, 72, 87)","(0.900709219858156, 0.4528301886792453)",1.432565527438516,0.5971121126887369,-0.5835446112469784,0.4168131239039355,-0.8354534147497792,-0.29452328104880093,-0.8751173017451831,0.5805940206963822
4,30,"(96, 22, 9, 73)","(0.8135593220338984, 0.10975609756097561)",0.8211309557920666,-0.4870972473807302,0.1683685656385813,-0.5932028794492031,-1.308228203172797,,,,,,,,,,
5,42,"(74, 25, 13, 88)","(0.7474747474747475, 0.12871287128712872)",1.119272702278078,1.0478023818511857,0.2329661352105304,0.9361457486799888,-0.0714703204268925,"(104, 37, 51, 108)","(0.7375886524822695, 0.32075471698113206)",0.1573106846101707,2.927682712634815,-0.0851698052322884,18.61083193357058,2.7703720280246444,-0.06598410022507666,2.9237437732321245,2.989727873457201
6,43,"(90, 18, 14, 78)","(0.8333333333333334, 0.15217391304347827)",0.5412015471773279,0.469817523814009,0.0298663534066492,0.8681008512713481,-0.0713840233633189,"(138, 7, 76, 79)","(0.9517241379310345, 0.49032258064516127)",2.0973458814562624,-0.3915006885715719,-0.8187728508100514,-0.1866648186324608,-2.4888465700278344,-0.14144738297047005,,
7,55,"(79, 26, 16, 79)","(0.7523809523809524, 0.16842105263157894)",1.468988744340383,1.4284931711674385,0.1392110836077601,0.9724330269180324,-0.0404955731729446,"(107, 44, 43, 106)","(0.7086092715231788, 0.28859060402684567)",0.2104283942479247,0.3996703349965426,0.0040901928691841,1.899317515703964,0.1892419407486179,-0.02795407278330284,0.6414946193827379,0.6694486921660407
8,56,"(64, 25, 14, 97)","(0.7191011235955056, 0.12612612612612611)",0.967421566101701,-1.1334266438489935,0.2823613334239234,-1.1715953867104936,-2.1008482099506947,,,,,,,,,,
9,81,"(72, 30, 20, 78)","(0.7058823529411765, 0.20408163265306123)",0.5347229695117217,-0.2747421277360835,0.142867560356271,-0.513802741608355,-0.8094650972478052,"(138, 11, 80, 71)","(0.9261744966442953, 0.5298013245033113)",-0.2822161470625082,-0.1247891141916867,-0.7613245245115281,0.4421756709903884,0.1574270328708215,,-0.8160480301854403,
